No,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Latitude,Langitude
70,-4.1152,2.99808,9.24112,-6.04641,24.55109,32.37051,-6.97328,107.63849
71,-2.37701,1.9111,8.633,-11.35669,-23.42329,7.55976,-6.97328,107.63849
72,-4.29237,-2.47028,9.86839,-11.26577,2.76093,59.47007,-6.97328,107.63849
73,-1.56776,0.5943,8.73834,1.3079,-4.10554,43.60043,-6.97328,107.63849
74,-5.02499,0.25432,14.57539,-5.95549,8.43752,-6.32618,-6.97328,107.63849
75,-2.15674,2.48572,11.05113,7.71626,-16.80074,-46.30453,-6.97328,107.63849
76,-3.06654,1.2168,7.23956,0.94158,-3.49531,15.55491,-6.97328,107.63849
77,-2.38181,1.59508,9.24591,-10.95978,-18.05181,-25.3388,-6.97328,107.63849
78,-3.39694,1.72914,8.85805,7.13662,2.91392,-9.16404,-6.97328,107.63849
79,-3.2485,2.4953,8.73355,16.56643,-12.49761,2.371,-6.97328,107.63849
80,-2.55418,1.01567,11.47731,-12.27205,-26.01723,20.22435,-6.97328,107.63849
81,-2.99472,2.03561,9.9498,23.25018,11.33658,-101.87626,-6.97328,107.63849
82,-3.48792,0.49374,9.02563,-32.41422,8.07121,21.47543,-6.97328,107.63849
83,-3.84705,-2.23087,10.28499,14.64393,-14.29859,-15.35907,-6.97328,107.63849
84,-3.78481,-1.28276,8.79579,6.46518,3.24964,13.6936,-6.97328,107.63849
85,-5.61876,-0.6842,7.7184,-83.04286,-51.59033,88.94939,-6.97328,107.63849
86,-4.19182,-0.08566,8.3409,-50.48001,-3.00659,27.88378,-6.97328,107.63849
87,-3.44482,0.21123,8.92987,2.31505,-6.42497,9.84859,-6.97328,107.63849
88,-4.32111,0.23996,10.82608,6.16007,-14.84763,-2.14544,-6.97328,107.63849
89,-2.717,2.07391,11.87474,-0.67581,35.3535,-2.8772,-6.97333,107.6385
90,-3.24371,1.36523,8.92029,20.56444,12.58766,-34.18898,-6.97333,107.6385
91,-3.65552,-0.74646,10.39992,-36.62555,2.02829,72.56218,-6.97333,107.6385
92,-2.0945,1.82971,9.93065,15.9562,-18.32633,-52.92621,-6.97333,107.6385
93,-3.32991,1.76746,10.17964,6.8009,-35.01953,-30.7094,-6.97333,107.6385
94,-0.89261,0.41713,9.7439,-4.76474,-5.93625,-58.7252,-6.97333,107.6385
95,-2.03224,1.25031,10.02162,9.24272,-5.87506,-28.48178,-6.97333,107.6385
96,-3.03302,-0.13834,11.62575,3.53552,-24.43044,0.32697,-6.97333,107.6385
97,-2.56854,1.70999,9.54758,-6.65752,-11.55165,5.24034,-6.97333,107.6385
98,-2.61642,1.2551,10.63454,10.92131,4.16499,2.4934,-6.97333,107.6385
99,-1.94127,1.84886,9.61461,-6.26061,-9.01891,8.53632,-6.97333,107.6385
100,-1.85028,1.40833,9.9115,9.36424,6.54562,-2.9996,-6.97333,107.6385
101,-2.92767,3.16566,9.71996,9.60904,2.73033,-7.42513,-6.97333,107.6385
